Movie_ID,Genre,Duration,IMDb_Rating,Votes,User_Liked
1,Romance,171,4.2,23210,1
2,Thriller,150,4.2,,0
3,Drama,111,5,26755,0
4,Thriller,90,8.8,43701,0
5,Thriller,89,5.6,3214,0
6,Comedy,152,9.2,26602,1
7,Drama,157,7.2,49868,1
8,Drama,156,6.4,48228,0
9,Drama,,7.2,20128,1
10,Thriller,104,6.8,17687,0
11,Romance,81,8.2,42819,1
12,Drama,143,5.6,35433,0
13,Thriller,114,5.9,3274,1
14,Comedy,86,8.9,35498,0
15,Romance,164,9.2,36029,1
16,Comedy,97,8.9,4421,1
17,Romance,146,6.3,30535,1
18,Thriller,121,8.3,46072,0
19,Action,118,6.6,7199,0
20,Romance,120,6.7,,0
21,Comedy,154,5.1,11460,1
22,Thriller,103,7.3,10413,0
23,Romance,139,5,46370,1
24,Action,125,5.8,20562,1
25,Action,98,8.7,5901,1
26,Drama,147,5.1,14230,1
27,Drama,169,4.4,14371,0
28,Comedy,121,4.4,16175,0
29,Romance,111,9.2,37019,1
30,Romance,118,6.8,41779,1
31,Drama,,6.3,19084,0
32,Romance,176,8.5,22659,0
33,Romance,115,8.6,12961,1
34,Action,82,5.8,33534,0
35,Drama,152,7.8,16767,1
36,Thriller,87,8.2,5940,1
37,Drama,176,7.6,3665,0
38,Thriller,149,4.8,43294,0
39,Action,120,8.8,21077,0
40,Comedy,147,7,21218,1
41,Romance,,5.6,22741,1
42,Action,128,6.3,7466,1
43,Romance,139,4.2,26736,1
44,Comedy,81,4.7,,1
45,Comedy,139,8.2,20156,0
46,Action,84,4,7482,0
47,Comedy,123,6.3,16249,1
48,Thriller,106,6.9,48739,0
49,Comedy,111,4.3,46141,0
50,Romance,100,9.4,1092,1
51,Romance,87,5.2,6958,1
52,Romance,151,5.7,2221,1
53,Romance,129,5.7,27260,1
54,Thriller,146,,45256,0
55,Drama,123,4,21006,1
56,Action,137,8,19672,0
57,Romance,82,,,1
58,Comedy,165,5.2,16827,1
59,Romance,149,7.6,32267,0
60,Comedy,81,8.1,45521,1
61,Comedy,166,8.7,15579,0
62,Romance,123,6.3,31476,1
63,Thriller,81,5.7,4923,1
64,Comedy,,5.8,5020,1
65,Comedy,114,7.9,19685,1
66,Romance,177,8.5,38339,0
67,Comedy,166,5,17372,1
68,Comedy,109,6,26719,1
69,Romance,87,9,9633,0
70,Romance,101,8.4,39995,1
71,Action,123,9.4,3820,1
72,Thriller,137,8.1,19367,0
73,Thriller,115,6.2,15796,1
74,Comedy,148,7.2,30068,0
75,Thriller,,7.6,23445,1
76,Comedy,172,4.4,,0
77,Action,110,7,19485,1
78,Romance,126,7.9,18222,1
79,Romance,,4.9,1464,1
80,Romance,159,8.3,,1
81,Thriller,141,7.2,13082,1
82,Action,109,9.2,17408,1
83,Thriller,134,4.2,33019,0
84,Thriller,95,5.5,25261,1
85,Action,91,7.3,35189,1
86,Action,96,5.6,13965,1
87,Action,95,7.9,595,1
88,Action,91,,44855,1
89,Romance,87,,2248,1
90,Drama,163,6.8,33424,1
91,Drama,82,6.8,13493,0
92,Action,95,6,1652,1
93,Drama,109,,35953,1
94,Drama,102,8.6,,1
95,Action,171,7.8,9026,1
96,Drama,84,7.9,30951,0
97,Thriller,163,6.5,23989,1
98,Comedy,144,9.1,40030,1
99,Comedy,109,7.8,8155,0
100,Action,100,,4754,1
101,Romance,163,8.7,,0
102,Action,149,5.5,,1
103,Romance,101,8.4,11568,0
104,Comedy,161,5.1,33022,1
105,Action,151,5.9,40818,1
106,Thriller,111,5.8,48191,1
107,Drama,112,9.4,17480,1
108,Romance,95,8.7,26970,1
109,Drama,155,7.9,37494,0
110,Drama,117,,14359,0
111,Action,177,7.1,14973,1
112,Drama,93,9.2,13116,0
113,Thriller,115,6.7,42237,1
114,Drama,176,6.1,253,1
115,Action,102,4.9,7953,1
116,Thriller,145,8.3,12479,1
117,Comedy,164,8,15892,0
118,Drama,81,6.1,38467,1
119,Action,170,,18200,1
120,Comedy,152,8.6,47653,1
121,Comedy,144,4.1,11149,1
122,Romance,154,7.9,886,0
123,Thriller,,9.3,4468,1
124,Drama,131,6.4,,1
125,Action,141,5.3,47791,1
